structure,use_rank,path_compression,n,m,workload,trial,runtime,pointer_updates
list,False,False,10000,10000,random_50_50,1,0.012087242999996306,7154
list,False,False,10000,10000,random_50_50,2,0.009932428999945841,7056
list,False,False,10000,10000,random_50_50,3,0.013184092999836139,7807
tree,False,True,10000,10000,random_50_50,1,0.007385691999843402,6073
tree,False,True,10000,10000,random_50_50,2,0.006186846999980844,5960
tree,False,True,10000,10000,random_50_50,3,0.005403097999987949,5975
tree,True,True,10000,10000,random_50_50,1,0.006168896999952267,6238
tree,True,True,10000,10000,random_50_50,2,0.005959401000154685,6187
tree,True,True,10000,10000,random_50_50,3,0.005628616999956648,6019
list,False,False,10000,10000,adversarial,1,0.012870696999925713,9999
list,False,False,10000,10000,adversarial,2,0.014546398999982557,9999
list,False,False,10000,10000,adversarial,3,0.015089315000068382,9999
tree,False,True,10000,10000,adversarial,1,0.015550361999885354,9999
tree,False,True,10000,10000,adversarial,2,0.015662918999851172,9999
tree,False,True,10000,10000,adversarial,3,0.020838701999991827,9999
tree,True,True,10000,10000,adversarial,1,0.01782234199981758,9999
tree,True,True,10000,10000,adversarial,2,0.020034946000123455,9999
tree,True,True,10000,10000,adversarial,3,0.016188538999813318,9999
list,False,False,10000,10000,batched_finds,1,0.035478420999879745,18147
list,False,False,10000,10000,batched_finds,2,0.031179424000129075,17986
list,False,False,10000,10000,batched_finds,3,0.019294795000178055,17905
tree,False,True,10000,10000,batched_finds,1,0.019722042000012152,14174
tree,False,True,10000,10000,batched_finds,2,0.013585367999894515,14068
tree,False,True,10000,10000,batched_finds,3,0.013201735999928133,13869
tree,True,True,10000,10000,batched_finds,1,0.014311836999922889,14240
tree,True,True,10000,10000,batched_finds,2,0.013624526000057813,14344
tree,True,True,10000,10000,batched_finds,3,0.012763236999944638,14041
list,False,False,10000,10000,gnp,1,0.030992473999958747,17868
list,False,False,10000,10000,gnp,2,0.02399288400010846,17824
list,False,False,10000,10000,gnp,3,0.03191822600001615,18361
tree,False,True,10000,10000,gnp,1,0.014631776999976864,13797
tree,False,True,10000,10000,gnp,2,0.019852752000133478,14024
tree,False,True,10000,10000,gnp,3,0.03908351399991261,13886
tree,True,True,10000,10000,gnp,1,0.030758932000026107,14324
tree,True,True,10000,10000,gnp,2,0.016144666999934998,14364
tree,True,True,10000,10000,gnp,3,0.011388128999897162,14178
list,False,False,10000,50000,random_50_50,1,0.03458400299996356,19983
list,False,False,10000,50000,random_50_50,2,0.04491719400016336,19132
list,False,False,10000,50000,random_50_50,3,0.02595903500014174,19667
